Run start heuristics analysis
name       & size   & x0         & x1         & x2         & lit        & gap%   & [ms]  \\
bqp500.1   &    500 &    -107123 &    -106842 &    -108058 &    -116586 &   7.31 &     3 \\
bqp500.2   &    500 &    -118615 &    -120987 &    -119100 &    -128223 &   5.64 &     3 \\
bqp500.3   &    500 &    -119224 &    -118352 &    -120013 &    -130812 &   8.26 &     3 \\
bqp500.4   &    500 &    -119178 &    -120398 &    -118358 &    -130097 &   7.46 &     3 \\
bqp1000.1  &   1000 &    -341369 &    -345946 &    -344996 &    -371438 &   6.86 &    14 \\
bqp1000.2  &   1000 &    -322867 &    -323557 &    -324034 &    -354932 &   8.71 &    14 \\
bqp1000.3  &   1000 &    -341202 &    -340481 &    -344761 &    -371236 &   7.13 &    13 \\
bqp1000.4  &   1000 &    -341832 &    -346431 &    -341609 &    -370675 &   6.54 &    15 \\
bqp2500.1  &   2500 &   -1410631 &   -1414199 &   -1406952 &   -1515944 &   6.71 &   163 \\
bqp2500.2  &   2500 &   -1356359 &   -1369374 &   -1357777 &   -1471392 &   6.93 &   188 \\
G1         &    800 &     -10366 &     -11248 &     -10548 &     -11624 &   3.23 &     9 \\
G2         &    800 &     -10397 &     -11287 &     -10568 &     -11620 &   2.87 &     8 \\
G3         &    800 &     -10275 &     -11303 &     -10456 &     -11622 &   2.74 &     8 \\
G4         &    800 &     -10318 &     -11291 &     -10426 &     -11646 &   3.05 &     8 \\
G22        &   2000 &     -11684 &     -12703 &     -11982 &     -13359 &   4.91 &    83 \\
G23        &   2000 &     -11628 &     -12770 &     -11885 &     -13344 &   4.30 &    95 \\
G55        &   5000 &      -8853 &      -9536 &      -9113 &     -10299 &   7.41 &   599 \\
p3000.1    &   3000 &   -3592564 &   -3622599 &   -3590799 &   -3931583 &   7.86 &   202 \\
p3000.2    &   3000 &   -4742745 &   -4768067 &   -4783574 &   -5193073 &   7.89 &   231 \\
p3000.3    &   3000 &   -4719856 &   -4731401 &   -4710685 &   -5111533 &   7.44 &   219 \\
p3000.4    &   3000 &   -5327622 &   -5340107 &   -5325098 &   -5761822 &   7.32 &   232 \\
p7000.2    &   7000 &  -16693716 &  -16692206 &  -16753461 &  -18249948 &   8.20 &  1380 \\
p7000.3    &   7000 &  -18585488 &  -18546779 &  -18549803 &  -20446407 &   9.10 &  1394 \\
x1 is best with avg. goodness of 93.38
