Run dsf tuning
Size shrunk from 1000 to 1000
Time(ms) | Phase nr. | It | Phase It | Phase Type | objective | best obj. | move type
0 | 1 | 1 | 1 | Search | -349399 | -349399 | Global Improvement.
0 | 1 | 2 | 2 | Search | -349517 | -349517 | Global Improvement.
0 | 1 | 3 | 3 | Search | -349593 | -349593 | Global Improvement.
0 | 1 | 4 | 4 | Search | -349667 | -349667 | Global Improvement.
0 | 1 | 5 | 5 | Search | -349709 | -349709 | Global Improvement.
1 | 1 | 6 | 6 | Search | -349773 | -349773 | Global Improvement.
1 | 1 | 7 | 7 | Search | -349833 | -349833 | Global Improvement.
1 | 1 | 8 | 8 | Search | -349914 | -349914 | Global Improvement.
1 | 1 | 9 | 9 | Search | -350112 | -350112 | Global Improvement.
1 | 1 | 10 | 10 | Search | -350208 | -350208 | Global Improvement.
1 | 1 | 11 | 11 | Search | -350228 | -350228 | Global Improvement.
1 | 1 | 12 | 12 | Search | -350244 | -350244 | Global Improvement.
1 | 1 | 13 | 13 | Search | -350246 | -350246 | Global Improvement.
1 | 1 | 14 | 14 | Search | -350292 | -350292 | Global Improvement.
1 | 1 | 15 | 15 | Search | -350334 | -350334 | Global Improvement.
1 | 1 | 17 | 17 | Search | -350366 | -350366 | Global Improvement.
1 | 1 | 18 | 18 | Search | -350458 | -350458 | Global Improvement.
2 | 1 | 19 | 19 | Search | -350492 | -350492 | Global Improvement.
2 | 1 | 22 | 22 | Search | -350497 | -350497 | Global Improvement.
2 | 1 | 23 | 23 | Search | -350531 | -350531 | Global Improvement.
2 | 1 | 24 | 24 | Search | -350619 | -350619 | Global Improvement.
2 | 1 | 25 | 25 | Search | -350659 | -350659 | Global Improvement.
2 | 1 | 26 | 26 | Search | -350803 | -350803 | Global Improvement.
2 | 1 | 27 | 27 | Search | -350887 | -350887 | Global Improvement.
2 | 1 | 28 | 28 | Search | -350957 | -350957 | Global Improvement.
2 | 1 | 29 | 29 | Search | -351049 | -351049 | Global Improvement.
2 | 1 | 30 | 30 | Search | -351125 | -351125 | Global Improvement.
2 | 1 | 31 | 31 | Search | -351285 | -351285 | Global Improvement.
3 | 1 | 32 | 32 | Search | -351419 | -351419 | Global Improvement.
3 | 1 | 33 | 33 | Search | -351486 | -351486 | Global Improvement.
3 | 1 | 34 | 34 | Search | -351522 | -351522 | Global Improvement.
3 | 1 | 45 | 45 | Search | -351582 | -351582 | Global Improvement.
3 | 1 | 46 | 46 | Search | -351616 | -351616 | Global Improvement.
3 | 1 | 47 | 47 | Search | -351706 | -351706 | Global Improvement.
3 | 1 | 48 | 48 | Search | -351762 | -351762 | Global Improvement.
3 | 1 | 49 | 49 | Search | -351794 | -351794 | Global Improvement.
3 | 1 | 50 | 50 | Search | -351845 | -351845 | Global Improvement.
3 | 1 | 51 | 51 | Search | -351863 | -351863 | Global Improvement.
4 | 1 | 54 | 54 | Search | -351921 | -351921 | Global Improvement.
4 | 1 | 55 | 55 | Search | -351929 | -351929 | Global Improvement.
4 | 1 | 59 | 59 | Search | -352037 | -352037 | Global Improvement.
4 | 1 | 60 | 60 | Search | -352047 | -352047 | Global Improvement.
4 | 1 | 63 | 63 | Search | -352067 | -352067 | Global Improvement.
4 | 1 | 64 | 64 | Search | -352111 | -352111 | Global Improvement.
4 | 1 | 65 | 65 | Search | -352127 | -352127 | Global Improvement.
4 | 1 | 66 | 66 | Search | -352141 | -352141 | Global Improvement.
4 | 1 | 69 | 69 | Search | -352191 | -352191 | Global Improvement.
4 | 1 | 70 | 70 | Search | -352241 | -352241 | Global Improvement.
11 | 1 | 305 | 305 | Search | -352276 | -352276 | Global Improvement.
11 | 1 | 306 | 306 | Search | -352320 | -352320 | Global Improvement.
11 | 1 | 307 | 307 | Search | -352334 | -352334 | Global Improvement.
108 | 5 | 3344 | 37 | Search | -352397 | -352397 | Global Improvement.
108 | 5 | 3345 | 38 | Search | -352433 | -352433 | Global Improvement.
258 | 11 | 8187 | 342 | Search | -352434 | -352434 | Global Improvement.
258 | 11 | 8188 | 343 | Search | -352478 | -352478 | Global Improvement.
262 | 11 | 8361 | 516 | Search | -352484 | -352484 | Global Improvement.
262 | 11 | 8362 | 517 | Search | -352618 | -352618 | Global Improvement.
262 | 11 | 8363 | 518 | Search | -352692 | -352692 | Global Improvement.

 Optimization finished in 4.351882602s. 
 Objective of best solution found: -352692
Time(ms) | Phase nr. | It | Phase It | Phase Type | objective | best obj. | move type
0 | 1 | 1 | 1 | Search | -349399 | -349399 | Global Improvement.
0 | 1 | 2 | 2 | Search | -349517 | -349517 | Global Improvement.
0 | 1 | 3 | 3 | Search | -349593 | -349593 | Global Improvement.
0 | 1 | 4 | 4 | Search | -349667 | -349667 | Global Improvement.
0 | 1 | 5 | 5 | Search | -349709 | -349709 | Global Improvement.
0 | 1 | 6 | 6 | Search | -349773 | -349773 | Global Improvement.
0 | 1 | 7 | 7 | Search | -349833 | -349833 | Global Improvement.
0 | 1 | 8 | 8 | Search | -349914 | -349914 | Global Improvement.
0 | 1 | 9 | 9 | Search | -350112 | -350112 | Global Improvement.
0 | 1 | 10 | 10 | Search | -350208 | -350208 | Global Improvement.
0 | 1 | 11 | 11 | Search | -350228 | -350228 | Global Improvement.
0 | 1 | 12 | 12 | Search | -350244 | -350244 | Global Improvement.
0 | 1 | 13 | 13 | Search | -350246 | -350246 | Global Improvement.
0 | 1 | 14 | 14 | Search | -350292 | -350292 | Global Improvement.
0 | 1 | 15 | 15 | Search | -350334 | -350334 | Global Improvement.
0 | 1 | 17 | 17 | Search | -350366 | -350366 | Global Improvement.
0 | 1 | 18 | 18 | Search | -350458 | -350458 | Global Improvement.
0 | 1 | 19 | 19 | Search | -350492 | -350492 | Global Improvement.
0 | 1 | 22 | 22 | Search | -350497 | -350497 | Global Improvement.
0 | 1 | 23 | 23 | Search | -350531 | -350531 | Global Improvement.
0 | 1 | 24 | 24 | Search | -350619 | -350619 | Global Improvement.
1 | 1 | 25 | 25 | Search | -350659 | -350659 | Global Improvement.
1 | 1 | 26 | 26 | Search | -350803 | -350803 | Global Improvement.
1 | 1 | 27 | 27 | Search | -350887 | -350887 | Global Improvement.
1 | 1 | 28 | 28 | Search | -350957 | -350957 | Global Improvement.
1 | 1 | 29 | 29 | Search | -351049 | -351049 | Global Improvement.
1 | 1 | 30 | 30 | Search | -351125 | -351125 | Global Improvement.
1 | 1 | 31 | 31 | Search | -351285 | -351285 | Global Improvement.
1 | 1 | 32 | 32 | Search | -351419 | -351419 | Global Improvement.
1 | 1 | 33 | 33 | Search | -351486 | -351486 | Global Improvement.
1 | 1 | 34 | 34 | Search | -351522 | -351522 | Global Improvement.
1 | 1 | 45 | 45 | Search | -351582 | -351582 | Global Improvement.
1 | 1 | 46 | 46 | Search | -351616 | -351616 | Global Improvement.
1 | 1 | 47 | 47 | Search | -351706 | -351706 | Global Improvement.
1 | 1 | 48 | 48 | Search | -351762 | -351762 | Global Improvement.
1 | 1 | 49 | 49 | Search | -351794 | -351794 | Global Improvement.
1 | 1 | 50 | 50 | Search | -351845 | -351845 | Global Improvement.
1 | 1 | 51 | 51 | Search | -351863 | -351863 | Global Improvement.
2 | 1 | 54 | 54 | Search | -351921 | -351921 | Global Improvement.
2 | 1 | 55 | 55 | Search | -351929 | -351929 | Global Improvement.
2 | 1 | 59 | 59 | Search | -352037 | -352037 | Global Improvement.
2 | 1 | 60 | 60 | Search | -352047 | -352047 | Global Improvement.
2 | 1 | 63 | 63 | Search | -352067 | -352067 | Global Improvement.
2 | 1 | 64 | 64 | Search | -352111 | -352111 | Global Improvement.
2 | 1 | 65 | 65 | Search | -352127 | -352127 | Global Improvement.
2 | 1 | 66 | 66 | Search | -352141 | -352141 | Global Improvement.
2 | 1 | 69 | 69 | Search | -352191 | -352191 | Global Improvement.
2 | 1 | 70 | 70 | Search | -352241 | -352241 | Global Improvement.
9 | 1 | 305 | 305 | Search | -352276 | -352276 | Global Improvement.
9 | 1 | 306 | 306 | Search | -352320 | -352320 | Global Improvement.
9 | 1 | 307 | 307 | Search | -352334 | -352334 | Global Improvement.
236 | 11 | 7908 | 101 | Search | -352445 | -352445 | Global Improvement.
236 | 11 | 7909 | 102 | Search | -352449 | -352449 | Global Improvement.
237 | 11 | 7916 | 109 | Search | -352464 | -352464 | Global Improvement.
237 | 11 | 7917 | 110 | Search | -352468 | -352468 | Global Improvement.
239 | 11 | 8008 | 201 | Search | -352473 | -352473 | Global Improvement.
239 | 11 | 8009 | 202 | Search | -352517 | -352517 | Global Improvement.
241 | 11 | 8060 | 253 | Search | -352546 | -352546 | Global Improvement.
241 | 11 | 8061 | 254 | Search | -352580 | -352580 | Global Improvement.
241 | 11 | 8062 | 255 | Search | -352586 | -352586 | Global Improvement.
248 | 11 | 8348 | 541 | Search | -352593 | -352593 | Global Improvement.
431 | 19 | 14381 | 33 | Search | -352621 | -352621 | Global Improvement.
1949 | 85 | 64806 | 925 | Search | -352658 | -352658 | Global Improvement.
1949 | 85 | 64811 | 930 | Search | -352670 | -352670 | Global Improvement.
1949 | 85 | 64812 | 931 | Search | -352716 | -352716 | Global Improvement.
1949 | 85 | 64813 | 932 | Search | -352730 | -352730 | Global Improvement.

 Optimization finished in 4.840208065s. 
 Objective of best solution found: -352730
Time(ms) | Phase nr. | It | Phase It | Phase Type | objective | best obj. | move type
0 | 1 | 1 | 1 | Search | -349399 | -349399 | Global Improvement.
0 | 1 | 2 | 2 | Search | -349517 | -349517 | Global Improvement.
0 | 1 | 3 | 3 | Search | -349593 | -349593 | Global Improvement.
0 | 1 | 4 | 4 | Search | -349667 | -349667 | Global Improvement.
0 | 1 | 5 | 5 | Search | -349709 | -349709 | Global Improvement.
0 | 1 | 6 | 6 | Search | -349773 | -349773 | Global Improvement.
0 | 1 | 7 | 7 | Search | -349833 | -349833 | Global Improvement.
0 | 1 | 8 | 8 | Search | -349914 | -349914 | Global Improvement.
0 | 1 | 9 | 9 | Search | -350112 | -350112 | Global Improvement.
0 | 1 | 10 | 10 | Search | -350208 | -350208 | Global Improvement.
0 | 1 | 11 | 11 | Search | -350228 | -350228 | Global Improvement.
0 | 1 | 12 | 12 | Search | -350244 | -350244 | Global Improvement.
0 | 1 | 13 | 13 | Search | -350246 | -350246 | Global Improvement.
0 | 1 | 14 | 14 | Search | -350292 | -350292 | Global Improvement.
0 | 1 | 15 | 15 | Search | -350334 | -350334 | Global Improvement.
0 | 1 | 17 | 17 | Search | -350366 | -350366 | Global Improvement.
0 | 1 | 18 | 18 | Search | -350458 | -350458 | Global Improvement.
0 | 1 | 19 | 19 | Search | -350492 | -350492 | Global Improvement.
0 | 1 | 22 | 22 | Search | -350497 | -350497 | Global Improvement.
0 | 1 | 23 | 23 | Search | -350531 | -350531 | Global Improvement.
0 | 1 | 24 | 24 | Search | -350619 | -350619 | Global Improvement.
0 | 1 | 25 | 25 | Search | -350659 | -350659 | Global Improvement.
1 | 1 | 26 | 26 | Search | -350803 | -350803 | Global Improvement.
1 | 1 | 27 | 27 | Search | -350887 | -350887 | Global Improvement.
1 | 1 | 28 | 28 | Search | -350957 | -350957 | Global Improvement.
1 | 1 | 29 | 29 | Search | -351049 | -351049 | Global Improvement.
1 | 1 | 30 | 30 | Search | -351125 | -351125 | Global Improvement.
1 | 1 | 31 | 31 | Search | -351285 | -351285 | Global Improvement.
1 | 1 | 32 | 32 | Search | -351419 | -351419 | Global Improvement.
1 | 1 | 33 | 33 | Search | -351486 | -351486 | Global Improvement.
1 | 1 | 34 | 34 | Search | -351522 | -351522 | Global Improvement.
1 | 1 | 45 | 45 | Search | -351582 | -351582 | Global Improvement.
1 | 1 | 46 | 46 | Search | -351616 | -351616 | Global Improvement.
1 | 1 | 47 | 47 | Search | -351706 | -351706 | Global Improvement.
1 | 1 | 48 | 48 | Search | -351762 | -351762 | Global Improvement.
1 | 1 | 49 | 49 | Search | -351794 | -351794 | Global Improvement.
1 | 1 | 50 | 50 | Search | -351845 | -351845 | Global Improvement.
1 | 1 | 51 | 51 | Search | -351863 | -351863 | Global Improvement.
1 | 1 | 54 | 54 | Search | -351921 | -351921 | Global Improvement.
2 | 1 | 55 | 55 | Search | -351929 | -351929 | Global Improvement.
2 | 1 | 59 | 59 | Search | -352037 | -352037 | Global Improvement.
2 | 1 | 60 | 60 | Search | -352047 | -352047 | Global Improvement.
2 | 1 | 63 | 63 | Search | -352067 | -352067 | Global Improvement.
2 | 1 | 64 | 64 | Search | -352111 | -352111 | Global Improvement.
2 | 1 | 65 | 65 | Search | -352127 | -352127 | Global Improvement.
2 | 1 | 66 | 66 | Search | -352141 | -352141 | Global Improvement.
2 | 1 | 69 | 69 | Search | -352191 | -352191 | Global Improvement.
2 | 1 | 70 | 70 | Search | -352241 | -352241 | Global Improvement.
