Run tenure ratio tuning
Size shrunk from 1000 to 1000
Warning: Given tenure ratio leads to small tabu tenure of 0.Minimum tabu_tenure 5 set instead
Time(ms) | Phase nr. | It | Phase It | Phase Type | objective | best obj. | move type
0 | 1 | 1 | 1 | Search | -324026 | -324026 | Global Improvement.
0 | 1 | 2 | 2 | Search | -324690 | -324690 | Global Improvement.
0 | 1 | 3 | 3 | Search | -325196 | -325196 | Global Improvement.
0 | 1 | 4 | 4 | Search | -325698 | -325698 | Global Improvement.
0 | 1 | 5 | 5 | Search | -326192 | -326192 | Global Improvement.
0 | 1 | 6 | 6 | Search | -326680 | -326680 | Global Improvement.
0 | 1 | 7 | 7 | Search | -327224 | -327224 | Global Improvement.
0 | 1 | 8 | 8 | Search | -327698 | -327698 | Global Improvement.
0 | 1 | 9 | 9 | Search | -328171 | -328171 | Global Improvement.
0 | 1 | 10 | 10 | Search | -328643 | -328643 | Global Improvement.
0 | 1 | 11 | 11 | Search | -329153 | -329153 | Global Improvement.
0 | 1 | 12 | 12 | Search | -329572 | -329572 | Global Improvement.
0 | 1 | 13 | 13 | Search | -329932 | -329932 | Global Improvement.
0 | 1 | 14 | 14 | Search | -330290 | -330290 | Global Improvement.
0 | 1 | 15 | 15 | Search | -330646 | -330646 | Global Improvement.
0 | 1 | 16 | 16 | Search | -330986 | -330986 | Global Improvement.
0 | 1 | 17 | 17 | Search | -331308 | -331308 | Global Improvement.
0 | 1 | 18 | 18 | Search | -331622 | -331622 | Global Improvement.
0 | 1 | 19 | 19 | Search | -331920 | -331920 | Global Improvement.
0 | 1 | 20 | 20 | Search | -332216 | -332216 | Global Improvement.
0 | 1 | 21 | 21 | Search | -332494 | -332494 | Global Improvement.
0 | 1 | 22 | 22 | Search | -332770 | -332770 | Global Improvement.
0 | 1 | 23 | 23 | Search | -333074 | -333074 | Global Improvement.
0 | 1 | 24 | 24 | Search | -333402 | -333402 | Global Improvement.
0 | 1 | 25 | 25 | Search | -333668 | -333668 | Global Improvement.
0 | 1 | 26 | 26 | Search | -333928 | -333928 | Global Improvement.
0 | 1 | 27 | 27 | Search | -334250 | -334250 | Global Improvement.
0 | 1 | 28 | 28 | Search | -334476 | -334476 | Global Improvement.
0 | 1 | 29 | 29 | Search | -334700 | -334700 | Global Improvement.
0 | 1 | 30 | 30 | Search | -334908 | -334908 | Global Improvement.
0 | 1 | 31 | 31 | Search | -335108 | -335108 | Global Improvement.
1 | 1 | 32 | 32 | Search | -335304 | -335304 | Global Improvement.
1 | 1 | 33 | 33 | Search | -335458 | -335458 | Global Improvement.
1 | 1 | 34 | 34 | Search | -335610 | -335610 | Global Improvement.
1 | 1 | 35 | 35 | Search | -335864 | -335864 | Global Improvement.
1 | 1 | 36 | 36 | Search | -336056 | -336056 | Global Improvement.
1 | 1 | 37 | 37 | Search | -336276 | -336276 | Global Improvement.
1 | 1 | 38 | 38 | Search | -336544 | -336544 | Global Improvement.
1 | 1 | 39 | 39 | Search | -336690 | -336690 | Global Improvement.
1 | 1 | 40 | 40 | Search | -337014 | -337014 | Global Improvement.
1 | 1 | 41 | 41 | Search | -337240 | -337240 | Global Improvement.
1 | 1 | 42 | 42 | Search | -337384 | -337384 | Global Improvement.
1 | 1 | 43 | 43 | Search | -337664 | -337664 | Global Improvement.
1 | 1 | 44 | 44 | Search | -337856 | -337856 | Global Improvement.
1 | 1 | 45 | 45 | Search | -337998 | -337998 | Global Improvement.
1 | 1 | 46 | 46 | Search | -338208 | -338208 | Global Improvement.
1 | 1 | 47 | 47 | Search | -338350 | -338350 | Global Improvement.
1 | 1 | 48 | 48 | Search | -338526 | -338526 | Global Improvement.
1 | 1 | 49 | 49 | Search | -338692 | -338692 | Global Improvement.
1 | 1 | 50 | 50 | Search | -338880 | -338880 | Global Improvement.
1 | 1 | 51 | 51 | Search | -339008 | -339008 | Global Improvement.
1 | 1 | 52 | 52 | Search | -339130 | -339130 | Global Improvement.
1 | 1 | 53 | 53 | Search | -339262 | -339262 | Global Improvement.
1 | 1 | 54 | 54 | Search | -339412 | -339412 | Global Improvement.
1 | 1 | 55 | 55 | Search | -339670 | -339670 | Global Improvement.
1 | 1 | 56 | 56 | Search | -339814 | -339814 | Global Improvement.
1 | 1 | 57 | 57 | Search | -340002 | -340002 | Global Improvement.
1 | 1 | 58 | 58 | Search | -340182 | -340182 | Global Improvement.
1 | 1 | 59 | 59 | Search | -340320 | -340320 | Global Improvement.
1 | 1 | 60 | 60 | Search | -340528 | -340528 | Global Improvement.
1 | 1 | 61 | 61 | Search | -340698 | -340698 | Global Improvement.
