Run tabu search analysis
Size shrunk from 500 to 500
Time(ms) | Phase nr. | It | Phase It | Phase Type | objective | best obj. | move type
0 | 1 | 1 | 1 | Search | -108644 | -108644 | Global Improvement.
0 | 1 | 2 | 2 | Search | -109057 | -109057 | Global Improvement.
0 | 1 | 3 | 3 | Search | -109457 | -109457 | Global Improvement.
0 | 1 | 4 | 4 | Search | -109849 | -109849 | Global Improvement.
0 | 1 | 5 | 5 | Search | -110151 | -110151 | Global Improvement.
0 | 1 | 6 | 6 | Search | -110419 | -110419 | Global Improvement.
0 | 1 | 7 | 7 | Search | -110661 | -110661 | Global Improvement.
0 | 1 | 8 | 8 | Search | -110873 | -110873 | Global Improvement.
0 | 1 | 9 | 9 | Search | -111075 | -111075 | Global Improvement.
0 | 1 | 10 | 10 | Search | -111250 | -111250 | Global Improvement.
0 | 1 | 11 | 11 | Search | -111388 | -111388 | Global Improvement.
0 | 1 | 12 | 12 | Search | -111521 | -111521 | Global Improvement.
0 | 1 | 13 | 13 | Search | -111647 | -111647 | Global Improvement.
0 | 1 | 14 | 14 | Search | -111759 | -111759 | Global Improvement.
0 | 1 | 15 | 15 | Search | -111877 | -111877 | Global Improvement.
0 | 1 | 16 | 16 | Search | -112045 | -112045 | Global Improvement.
0 | 1 | 17 | 17 | Search | -112145 | -112145 | Global Improvement.
0 | 1 | 18 | 18 | Search | -112281 | -112281 | Global Improvement.
0 | 1 | 19 | 19 | Search | -112413 | -112413 | Global Improvement.
0 | 1 | 20 | 20 | Search | -112511 | -112511 | Global Improvement.
0 | 1 | 21 | 21 | Search | -112585 | -112585 | Global Improvement.
0 | 1 | 22 | 22 | Search | -112655 | -112655 | Global Improvement.
0 | 1 | 23 | 23 | Search | -112723 | -112723 | Global Improvement.
0 | 1 | 24 | 24 | Search | -112767 | -112767 | Global Improvement.
0 | 1 | 25 | 25 | Search | -112809 | -112809 | Global Improvement.
0 | 1 | 26 | 26 | Search | -112857 | -112857 | Global Improvement.
0 | 1 | 27 | 27 | Search | -112897 | -112897 | Global Improvement.
0 | 1 | 28 | 28 | Search | -112911 | -112911 | Global Improvement.
0 | 1 | 29 | 29 | Search | -112952 | -112952 | Global Improvement.
0 | 1 | 30 | 30 | Search | -112960 | -112960 | Global Improvement.
0 | 1 | 31 | 31 | Search | -112962 | -112962 | Global Improvement.
0 | 1 | 34 | 34 | Search | -113110 | -113110 | Global Improvement.
0 | 1 | 35 | 35 | Search | -113116 | -113116 | Global Improvement.
0 | 1 | 38 | 38 | Search | -113226 | -113226 | Global Improvement.
0 | 1 | 39 | 39 | Search | -113318 | -113318 | Global Improvement.
0 | 1 | 40 | 40 | Search | -113509 | -113509 | Global Improvement.
0 | 1 | 41 | 41 | Search | -113565 | -113565 | Global Improvement.
1 | 1 | 46 | 46 | Search | -113619 | -113619 | Global Improvement.
1 | 1 | 47 | 47 | Search | -113673 | -113673 | Global Improvement.
1 | 1 | 48 | 48 | Search | -113705 | -113705 | Global Improvement.
1 | 1 | 49 | 49 | Search | -113735 | -113735 | Global Improvement.
1 | 1 | 50 | 50 | Search | -113747 | -113747 | Global Improvement.
1 | 1 | 51 | 51 | Search | -113871 | -113871 | Global Improvement.
1 | 1 | 52 | 52 | Search | -113925 | -113925 | Global Improvement.
1 | 1 | 53 | 53 | Search | -113930 | -113930 | Global Improvement.
1 | 1 | 54 | 54 | Search | -114037 | -114037 | Global Improvement.
1 | 1 | 55 | 55 | Search | -114109 | -114109 | Global Improvement.
1 | 1 | 56 | 56 | Search | -114173 | -114173 | Global Improvement.
1 | 1 | 57 | 57 | Search | -114263 | -114263 | Global Improvement.
1 | 1 | 59 | 59 | Search | -114283 | -114283 | Global Improvement.
1 | 1 | 60 | 60 | Search | -114289 | -114289 | Global Improvement.
1 | 1 | 63 | 63 | Search | -114337 | -114337 | Global Improvement.
1 | 1 | 64 | 64 | Search | -114343 | -114343 | Global Improvement.
1 | 1 | 66 | 66 | Search | -114381 | -114381 | Global Improvement.
1 | 1 | 68 | 68 | Search | -114507 | -114507 | Global Improvement.
1 | 1 | 69 | 69 | Search | -114623 | -114623 | Global Improvement.
1 | 1 | 70 | 70 | Search | -114693 | -114693 | Global Improvement.
1 | 1 | 71 | 71 | Search | -114707 | -114707 | Global Improvement.
1 | 1 | 72 | 72 | Search | -114719 | -114719 | Global Improvement.
