name  & size & density & \\
bqp50.1   &    50 &     8.76 &     -2098    \\
bqp50.2   &    50 &     9.72 &     -3702    \\
bqp50.3   &    50 &     10.72 &     -4626   \\
bqp50.4   &    50 &     9.04 &     -3544    \\
bqp50.5   &    50 &     10.76 &     -4012   \\
bqp50.6   &    50 &     8.64 &     -3693    \\
bqp50.7   &    50 &     10.04 &     -4520   \\
bqp50.8   &    50 &     11.36 &     -4216   \\
bqp50.9   &    50 &     10.04 &     -3780   \\
bqp50.10  &    50 &     8.76 &     -3507    \\
bqp100.1  &   100 &     9.39 &     -7970    \\
bqp100.2  &   100 &     9.76 &     -11036   \\
bqp100.3  &   100 &     9.95 &     -12723   \\
bqp100.4  &   100 &     9.62 &     -10368   \\
bqp100.5  &   100 &     9.3 &     -9083     \\
bqp100.6  &   100 &     10.38 &     -10210  \\
bqp100.7  &   100 &     9.47 &     -10125   \\
bqp100.8  &   100 &     9.91 &     -11435   \\
bqp100.9  &   100 &     10.13 &     -11455  \\
bqp100.10 &   100 &     9.82 &     -12565   \\
bqp250.1  &   250 &     9.93 &     -45607   \\
bqp250.2  &   250 &     9.75 &     -44810   \\
bqp250.3  &   250 &     9.85 &     -49037   \\
bqp250.4  &   250 &     10.11 &     -41274  \\
bqp250.5  &   250 &     10.0 &     -47961   \\
bqp250.6  &   250 &     10.22 &     -41014  \\
bqp250.7  &   250 &     9.92 &     -46757   \\
bqp250.8  &   250 &     9.69 &     -35726   \\
bqp250.9  &   250 &     10.1 &     -48916   \\
bqp250.10 &   250 &     9.78 &     -40442   \\

bqp500.1  &   500 &     9.92 &     -116586  \\
bqp500.2  &   500 &     9.84 &     -128223  \\
bqp500.3  &   500 &     10.03 &     -130812 \\
bqp500.4  &   500 &     9.84 &     -130097  \\

bqp500.5  &   500 &     9.88 &     -125487  \\
bqp500.6  &   500 &     9.87 &     -121772  \\
bqp500.7  &   500 &     9.95 &     -122201  \\
bqp500.8  &   500 &     9.84 &     -123559  \\
bqp500.9  &   500 &     9.9 &     -120798   \\
bqp500.10 &   500 &     9.94 &     -130619  \\

bqp1000.1 &  1000 &     9.9 &     -371438   \\
bqp1000.2 &  1000 &     9.9 &     -354932   \\
bqp1000.3 &  1000 &     9.95 &     -371236  \\
bqp1000.4 &  1000 &     9.93 &     -370675  \\

bqp1000.5 &  1000 &     9.91 &     -352760  \\
bqp1000.6 &  1000 &     9.98 &     -359629  \\
bqp1000.7 &  1000 &     9.89 &     -371193  \\
bqp1000.8 &  1000 &     9.9 &     -351994   \\
bqp1000.9 &  1000 &     9.91 &     -349337  \\
bqp1000.10&  1000 &     9.82 &     -351415  \\

bqp2500.1 &  2500 &     9.94 &     -1515944 \\
bqp2500.2 &  2500 &     9.9 &     -1471392  \\

bqp2500.3 &  2500 &     9.89 &     -1414192 \\
bqp2500.4 &  2500 &     9.9 &     -1507701  \\
bqp2500.5 &  2500 &     9.9 &     -1491816  \\
bqp2500.6 &  2500 &     9.88 &     -1469162 \\
bqp2500.7 &  2500 &     9.92 &     -1479040 \\
bqp2500.8 &  2500 &     9.89 &     -1484199 \\
bqp2500.9 &  2500 &     9.92 &     -1482413 \\
bqp2500.10&  2500 &     9.9 &     -1483355  \\

G1        &   800 &     6.12 &     -11624   \\
G2        &   800 &     6.12 &     -11620   \\
G3        &   800 &     6.12 &     -11622   \\
G4        &   800 &     6.12 &     -11646   \\

G5        &   800 &     6.12 &     -11631   \\
G6        &   800 &     6.12 &     -2178    \\
G7        &   800 &     6.12 &     -2006    \\
G8        &   800 &     6.12 &     -2005    \\
G9        &   800 &     6.12 &     -2054    \\
G10       &   800 &     6.12 &     -2000    \\
G11       &   800 &     0.62 &     -564     \\
G12       &   800 &     0.62 &     -556     \\
G13       &   800 &     0.62 &     -582     \\
G14       &   800 &     1.59 &     -3064    \\
G15       &   800 &     1.58 &     -3050    \\
G16       &   800 &     1.58 &     -3052    \\
G17       &   800 &     1.58 &     -3047    \\
G18       &   800 &     1.59 &     -992     \\
G19       &   800 &     1.58 &     -906     \\
G20       &   800 &     1.58 &     -941     \\
G21       &   800 &     1.58 &     -931     \\

G22       &  2000 &     1.05 &     -13359   \\
G23       &  2000 &     1.05 &     -13344   \\

G24       &  2000 &     1.05 &     -13337   \\
G25       &  2000 &     1.05 &     -13340   \\
G26       &  2000 &     1.05 &     -13328   \\
G27       &  2000 &     1.05 &     -3341    \\
G28       &  2000 &     1.05 &     -3298    \\
G29       &  2000 &     1.05 &     -3405    \\
G30       &  2000 &     1.05 &     -3413    \\
G31       &  2000 &     1.05 &     -3310    \\
G32       &  2000 &     0.25 &     -1410    \\
G33       &  2000 &     0.25 &     -1382    \\
G34       &  2000 &     0.25 &     -1384    \\
G35       &  2000 &     0.64 &     -7687    \\
G36       &  2000 &     0.64 &     -7680    \\
G37       &  2000 &     0.64 &     -7691    \\
G38       &  2000 &     0.64 &     -7688    \\
G39       &  2000 &     0.64 &     -2408    \\
G40       &  2000 &     0.64 &     -2400    \\
G41       &  2000 &     0.64 &     -2405    \\
G42       &  2000 &     0.64 &     -2481    \\
G43       &  1000 &     2.1 &     -6660     \\
G44       &  1000 &     2.1 &     -6650     \\
G45       &  1000 &     2.1 &     -6654     \\
G46       &  1000 &     2.1 &     -6649     \\
G47       &  1000 &     2.1 &     -6665     \\
G48       &  3000 &     0.17 &     -6000    \\
G49       &  3000 &     0.17 &     -6000    \\
G50       &  3000 &     0.17 &     -5880    \\
G51       &  1000 &     1.28 &     -3848    \\
G52       &  1000 &     1.28 &     -3851    \\
G53       &  1000 &     1.28 &     -3850    \\
G54       &  1000 &     1.28 &     -3852    \\

G55       &  5000 &     0.12 &     -10299   \\

G56       &  5000 &     0.12 &     -4017    \\
G57       &  5000 &     0.1 &     -3494     \\
G58       &  5000 &     0.26 &     -19293   \\
G59       &  5000 &     0.26 &     -6087    \\
G60       &  7000 &     0.08 &     -14190   \\
G61       &  7000 &     0.08 &     -5798    \\
G62       &  7000 &     0.07 &     -4870    \\
G63       &  7000 &     0.18 &     -27045   \\
G64       &  7000 &     0.18 &     -8751    \\
G65       &  8000 &     0.06 &     -5562    \\
G66       &  9000 &     0.06 &     -6364    \\
G67       & 10000 &     0.05 &     -6950    \\
G70       & 10000 &     0.03 &     -9591    \\
G72       & 10000 &     0.05 &     -7006    \\
G77       & 14000 &     0.04 &     -9938    \\
G81       & 20000 &     0.03 &     -14048   \\

p3000.1   &  3000 &     50 &     -3931583   \\
p3000.2   &  3000 &     80 &     -5193073   \\
p3000.3   &  3000 &     80 &     -5111533   \\
p3000.4   &  3000 &     100 &     -5761822  \\

p3000.5   &  3000 &     100 &     -5675625  \\
p4000.1   &  4000 &     50 &     -6181830   \\
p4000.2   &  4000 &     80 &     -7801355   \\
p4000.3   &  4000 &     80 &     -7741685   \\
p4000.4   &  4000 &     100 &     -8711822  \\
p4000.5   &  4000 &     100 &     -8908979  \\
p5000.1   &  5000 &     50 &     -8559680   \\
p5000.2   &  5000 &     80 &     -10836019  \\
p5000.3   &  5000 &     80 &     -10489137  \\
p5000.4   &  5000 &     100 &     -12252318 \\
p5000.5   &  5000 &     100 &     -12731803 \\
p6000.1   &  6000 &     50 &     -11384976  \\
p6000.2   &  6000 &     80 &     -14333855  \\
p6000.3   &  6000 &     100 &     -16132915 \\
p7000.1   &  7000 &     50 &     -14478676  \\

p7000.2   &  7000 &     80 &     -18249948  \\
p7000.3   &  7000 &     100 &     -20446407 \\
