Run start heuristics analysis
 name      &   size &    x0% &    x1% &    x2% & best_lit &   gap% &   [ms] \\
bqp50.1    &     50 &  91.42 &  89.42 &  88.13 & -2.098e3 &   8.58 &      0 \\
bqp50.2    &     50 &  90.09 &  82.85 &  82.85 & -3.702e3 &   9.91 &      0 \\
bqp50.3    &     50 &  90.53 &  84.98 &  75.62 & -4.626e3 &   9.47 &      0 \\
bqp100.1   &    100 &  88.67 &  94.62 &  88.47 & -7.970e3 &   5.38 &      0 \\
bqp100.2   &    100 &  95.40 &  98.86 &  98.01 & -1.104e4 &   1.14 &      0 \\
bqp100.3   &    100 &  95.82 &  96.65 &  93.34 & -1.272e4 &   3.35 &      0 \\
bqp250.1   &    250 &  91.72 &  90.49 &  90.14 & -4.561e4 &   8.28 &      0 \\
bqp250.2   &    250 &  93.11 &  95.22 &  94.52 & -4.481e4 &   4.78 &      0 \\
bqp250.3   &    250 &  94.91 &  91.57 &  91.57 & -4.904e4 &   5.09 &      0 \\
bqp500.1   &    500 &  91.88 &  91.64 &  92.69 & -1.166e5 &   7.31 &      3 \\
bqp500.2   &    500 &  92.51 &  94.36 &  92.89 & -1.282e5 &   5.64 &      3 \\
bqp500.3   &    500 &  91.14 &  90.47 &  91.74 & -1.308e5 &   8.26 &      3 \\
bqp1000.1  &   1000 &  91.90 &  93.14 &  92.88 & -3.714e5 &   6.86 &     13 \\
bqp1000.2  &   1000 &  90.97 &  91.16 &  91.29 & -3.549e5 &   8.71 &     13 \\
bqp1000.3  &   1000 &  91.91 &  91.72 &  92.87 & -3.712e5 &   7.13 &     14 \\
bqp2500.1  &   2500 &  93.05 &  93.29 &  92.81 & -1.516e6 &   6.71 &    137 \\
bqp2500.2  &   2500 &  92.18 &  93.07 &  92.28 & -1.471e6 &   6.93 &    139 \\
bqp2500.3  &   2500 &  91.83 &  92.29 &  92.62 & -1.414e6 &   7.38 &    140 \\
p3000.1    &   3000 &  91.38 &  92.14 &  91.33 & -3.932e6 &   7.86 &    204 \\
p3000.4    &   3000 &  92.46 &  92.68 &  92.42 & -5.762e6 &   7.32 &    196 \\
p6000.1    &   6000 &  90.73 &  91.13 &  91.24 & -1.138e7 &   8.76 &    828 \\
p6000.3    &   6000 &  90.60 &  90.48 &  90.26 & -1.613e7 &   9.40 &    821 \\
x0 is best with avg. goodness of 92.01
